,Prod. year,Leather interior,Mileage,Cylinders,Wheel,price_levy_combined,Airbags_bins,Engine volume int,Turbo,Coupe,Goods wagon,Hatchback,Jeep,Microbus,Minivan,Pickup,Sedan,Universal,Diesel,Hybrid,LPG,Petrol,Automatic,Manual,Variator,4x4,Front,Germany,Japan,South Korea,USA
63,2004,1,130000,4.0,0,5331,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
64,2013,0,200279,4.0,0,21166,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
66,2014,0,154672,4.0,0,35434,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
67,2016,0,110969,4.0,0,37655,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
68,2013,0,225510,4.0,0,1093,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
69,2001,1,210000,4.0,1,5488,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
70,2015,0,148105,4.0,0,30997,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
71,2011,0,255456,4.0,0,16569,1,2.2,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
72,2017,0,111643,4.0,0,45201,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
73,2016,0,84506,4.0,0,54045,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
74,2011,1,288000,4.0,0,15385,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
75,2016,0,75000,4.0,0,42337,1,2.3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,2014,0,94362,6.0,0,4816,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
77,2012,1,175000,4.0,0,18189,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
79,2009,0,193614,4.0,0,1405,0,2.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
80,2010,0,264877,6.0,0,6969,2,3.3,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
81,2019,0,27656,4.0,0,8357,2,1.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
83,1998,1,0,4.0,1,8154,1,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
84,2012,1,195053,4.0,0,22734,0,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
85,2012,0,121362,4.0,0,19652,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
86,2014,0,69191,4.0,0,36704,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
87,2012,0,83000,4.0,1,9892,2,1.3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
88,2010,0,40772,4.0,0,7007,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
89,2012,0,172000,4.0,0,16931,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
92,2012,0,148213,4.0,0,1330,0,2.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
93,2008,0,103246,4.0,0,8076,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
94,2016,1,105394,4.0,0,28175,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
95,2013,0,160000,4.0,0,32929,2,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
97,1997,0,0,4.0,0,4234,1,1.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
98,2004,0,214000,6.0,0,15053,2,3.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
99,2009,0,123346,4.0,0,16424,1,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
100,2014,0,80827,4.0,0,3374,2,1.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
101,2013,0,64464,6.0,0,1844,2,3.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
105,2007,1,318400,4.0,0,11651,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
106,2015,1,91200,4.0,0,13623,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
107,2013,0,137802,6.0,0,1936,2,3.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
108,2013,0,151586,6.0,0,1466,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
109,2016,1,107000,4.0,0,12858,1,1.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
110,2008,0,210408,6.0,0,15000,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,2016,0,86000,4.0,0,45843,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
113,2010,0,122740,4.0,0,17845,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
116,1997,1,100000,4.0,0,1254,0,1.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
118,2013,0,85704,4.0,0,26231,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
119,2010,0,58962,4.0,0,15733,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
120,2013,0,90000,4.0,0,24300,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
122,2014,0,0,4.0,0,1483,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
123,2009,0,318358,6.0,0,2556,2,3.3,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
124,2015,0,71454,4.0,0,17700,0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
125,2012,0,0,4.0,0,20225,1,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
126,2014,0,346470,4.0,0,12243,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
127,2016,0,59515,4.0,0,52856,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
128,2014,0,115312,4.0,0,1100,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
129,1999,1,111111,4.0,0,9408,1,2.2,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
130,2008,0,74444,4.0,0,14675,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
131,2012,1,143000,4.0,1,17876,2,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
132,2004,0,299709,6.0,0,3415,2,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
133,2008,1,135000,4.0,0,20071,2,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
134,2011,0,124444,4.0,0,23756,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
135,2012,0,146403,4.0,0,3404,0,1.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
136,1997,1,142000,4.0,0,15681,1,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
139,2013,0,130000,4.0,0,18660,1,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
140,2017,0,50930,4.0,0,23597,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
141,2014,0,264872,4.0,0,12243,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
143,2013,0,138958,4.0,0,6239,2,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
145,2018,0,35058,4.0,0,19426,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
146,2015,1,33330,4.0,0,21866,2,1.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
147,2011,1,141000,4.0,1,9095,1,1.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
148,2014,0,82392,4.0,0,2207,2,2.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
150,2013,0,117920,4.0,0,18461,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
151,2016,0,279787,4.0,0,12181,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
152,2010,0,227200,6.0,0,37464,3,3.5,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
153,2014,0,130478,4.0,0,1256,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
154,2012,0,166144,4.0,0,22176,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
155,2016,0,258706,4.0,0,16572,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
156,2012,0,188419,4.0,0,1102,0,1.4,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
157,2016,0,25807,4.0,0,40760,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
158,2008,1,180000,4.0,0,11917,2,1.7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
160,2013,0,137267,4.0,0,36567,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
161,2014,1,160000,4.0,0,21320,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
162,2018,0,27358,6.0,0,22835,2,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
163,2009,0,84176,4.0,0,14533,1,2.9,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
164,2011,0,107005,4.0,0,16331,1,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
165,1997,1,15000,4.0,0,4547,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
166,2015,0,124154,6.0,0,6761,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
167,2012,0,104997,4.0,0,20536,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
168,2017,0,27728,6.0,0,37034,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
170,2019,0,11566,4.0,0,1547,2,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
172,2016,0,113700,4.0,0,44771,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
173,2014,0,69000,4.0,0,30063,2,1.8,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
174,2011,0,152000,4.0,0,17249,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
175,2003,1,181926,4.0,1,9408,1,1.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
176,2016,0,50255,4.0,0,45104,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
177,2001,0,252800,6.0,0,10545,1,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
178,2014,0,164488,6.0,0,1542,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
179,2011,1,125000,4.0,0,22781,1,2.4,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
180,2012,0,164574,4.0,0,1181,2,1.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
181,2014,0,156992,4.0,0,3609,2,1.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
184,2010,0,90200,6.0,0,31500,2,4.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
186,2014,0,149486,6.0,0,1367,2,3.5,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
187,1996,1,0,4.0,0,2300,0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
188,2004,1,170000,4.0,0,7840,1,1.9,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
189,2018,0,25000,4.0,0,56450,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
190,2014,0,113214,4.0,0,2129,2,2.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
191,2012,0,394069,4.0,0,1463,2,2.7,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
193,2002,1,260000,4.0,0,13172,1,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
195,2013,0,301707,6.0,0,5621,0,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
196,2013,0,175827,4.0,0,1457,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
197,2013,0,107800,6.0,0,6857,2,3.5,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
198,2014,1,115200,4.0,0,26493,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
199,2012,0,132036,4.0,0,15068,1,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
200,2001,1,91000,4.0,1,10820,1,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
201,2011,0,129177,4.0,0,46608,1,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
202,2008,1,201000,4.0,0,12810,2,1.6,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
203,2015,0,185811,4.0,0,42046,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
204,1998,1,358400,4.0,0,4391,1,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
205,2018,0,28968,6.0,0,4930,2,3.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
206,2001,0,240000,4.0,0,3700,1,1.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
207,2008,1,98000,4.0,0,15681,2,1.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
208,2011,0,122302,4.0,0,7231,0,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
209,2007,1,140000,4.0,0,12544,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
210,2014,0,120000,4.0,0,30702,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
212,2015,1,17200,4.0,0,21639,2,1.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
213,2013,1,120000,4.0,0,36692,0,2.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
215,2014,1,66000,4.0,1,13497,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
216,2004,1,300000,4.0,1,3136,1,1.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
217,2009,0,230000,4.0,0,10663,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
218,2013,0,110467,4.0,0,6067,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
219,2010,0,157000,4.0,0,21278,2,5.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
220,2012,1,64000,4.0,1,10519,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
222,2013,0,179200,4.0,0,16007,3,2.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
223,2011,0,246976,8.0,0,7689,2,5.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
224,2014,0,179918,4.0,0,27371,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
225,2013,0,92200,4.0,0,36844,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
226,2016,0,29000,4.0,0,27073,2,1.6,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
