,seniorcitizen,tenure,multiplelines,internetservice,contract,paperlessbilling,monthlycharges,churn,service_count,family,paymentmethod_Bank transfer (automatic),paymentmethod_Credit card (automatic),paymentmethod_Electronic check
56,0,63,1,2,2,1,99.65,0,3,1,0,1,0
57,1,66,1,2,2,1,108.45,0,5,1,0,0,1
58,0,34,1,0,3,0,24.95,0,0,1,0,1,0
59,0,72,1,2,3,1,107.5,0,4,0,0,1,0
60,0,47,1,2,1,1,100.5,0,3,1,0,0,1
61,0,60,1,2,1,1,89.9,0,2,0,1,0,0
62,0,72,0,1,3,0,42.1,0,3,1,1,0,0
63,0,18,0,1,2,1,54.4,0,2,1,0,1,0
64,0,9,1,2,1,0,94.4,1,2,0,0,0,1
65,0,3,0,1,1,1,75.3,0,4,0,0,0,1
66,0,47,1,2,2,1,78.9,0,1,1,0,0,1
67,0,31,0,1,3,0,79.2,0,5,0,0,0,0
68,0,50,0,0,3,0,20.15,0,0,1,1,0,0
69,0,10,0,2,1,1,79.85,0,2,0,0,0,0
70,0,1,0,1,1,0,49.05,0,1,0,0,0,0
71,0,52,0,0,2,1,20.4,0,0,1,0,0,1
72,1,64,1,2,3,1,111.6,0,5,1,1,0,0
73,0,62,1,0,3,1,24.25,0,0,1,1,0,0
74,0,3,0,1,1,1,64.5,0,3,1,1,0,0
76,0,46,0,1,2,0,55.65,0,1,0,0,1,0
77,0,8,0,1,1,0,54.65,0,2,1,0,0,0
78,1,30,0,1,1,1,74.75,0,4,0,0,0,1
79,0,45,1,0,2,1,25.9,0,0,1,0,1,0
80,0,1,0,2,1,1,79.35,1,1,1,0,0,1
81,0,11,0,1,1,0,50.55,0,3,1,0,0,1
82,0,7,0,2,1,1,75.15,1,1,1,1,0,0
83,0,42,0,2,1,1,103.8,0,5,0,1,0,0
84,0,49,0,0,3,1,20.15,0,0,1,1,0,0
85,0,9,1,2,1,1,99.3,0,3,0,0,1,0
86,0,35,0,1,2,1,62.15,0,2,1,1,0,0
87,0,48,0,0,3,0,20.65,0,0,1,1,0,0
88,0,46,0,0,3,1,19.95,0,0,1,0,0,0
89,0,29,0,1,1,0,33.75,0,1,1,0,0,0
90,0,30,0,2,1,0,82.05,0,2,1,1,0,0
91,1,1,0,2,1,0,74.7,0,1,0,0,0,1
92,0,66,1,1,3,1,84.0,0,5,1,0,0,0
93,0,65,1,2,1,1,111.05,0,5,0,0,1,0
94,0,72,1,2,3,1,100.9,0,4,0,1,0,0
95,0,12,1,2,1,1,78.95,1,1,0,0,0,1
96,0,71,1,1,2,1,66.85,0,3,1,0,1,0
97,0,5,0,0,1,0,21.05,1,0,0,0,0,0
98,0,52,0,0,3,0,21.0,0,0,0,1,0,0
99,1,25,0,2,1,1,98.5,1,4,1,0,0,1
100,0,1,0,0,1,0,20.2,0,0,0,0,0,0
101,0,1,0,0,1,0,19.45,0,0,1,0,0,1
102,0,38,1,2,2,0,95.0,0,3,0,1,0,0
103,1,66,0,1,2,0,45.55,0,3,1,1,0,0
104,0,68,1,2,3,1,110.0,1,5,1,1,0,0
105,0,5,0,1,1,0,24.3,0,0,0,0,0,0
106,0,72,1,2,2,1,104.15,0,4,1,0,0,1
107,0,32,0,1,2,0,30.15,0,1,0,0,0,0
108,0,43,1,2,2,0,94.35,0,2,0,0,0,0
109,0,72,0,0,3,0,19.4,0,0,1,0,1,0
110,0,55,1,2,1,1,96.75,1,3,1,0,0,1
111,0,52,0,1,2,0,57.95,0,3,0,0,1,0
112,0,43,0,2,1,1,91.65,0,3,0,0,0,1
113,1,37,1,2,1,1,76.5,1,0,1,0,0,1
114,0,64,0,1,3,1,54.6,0,4,1,0,0,1
115,0,3,0,2,1,0,89.85,0,3,1,0,0,1
116,0,36,0,1,3,0,31.05,0,1,0,1,0,0
117,0,10,1,2,1,1,100.25,1,3,1,0,0,1
118,0,41,0,0,3,0,20.65,0,0,0,0,0,0
119,0,27,1,2,1,1,85.2,0,2,1,0,1,0
120,0,56,1,2,2,1,99.8,0,3,1,0,1,0
121,0,6,0,0,1,0,20.7,0,0,0,0,0,0
122,0,3,1,2,1,1,74.4,1,0,0,0,0,1
123,0,7,0,1,1,0,50.7,0,1,1,0,0,0
124,0,4,0,0,1,0,20.85,0,0,1,0,0,0
125,0,33,0,2,3,1,88.95,0,3,0,0,0,1
126,1,27,1,2,1,1,78.05,1,1,0,0,0,1
127,0,72,1,0,3,1,23.55,0,0,1,1,0,0
128,0,1,0,0,1,0,19.75,0,0,0,0,0,0
130,0,13,1,2,1,1,85.95,0,1,0,0,0,1
132,0,67,0,1,3,0,50.55,0,1,0,1,0,0
133,0,1,0,1,1,1,35.45,1,1,0,0,0,1
134,0,2,0,1,1,0,44.35,1,0,0,0,0,1
135,0,43,1,0,3,1,25.7,0,0,0,0,1,0
136,0,23,0,2,1,1,75.0,0,1,0,1,0,0
137,0,64,0,0,3,0,20.2,0,0,1,0,0,0
138,0,57,0,0,3,1,19.6,0,0,1,0,0,0
139,1,1,0,2,1,1,70.45,1,0,1,0,0,0
140,1,72,1,1,3,1,88.05,0,6,1,0,1,0
141,0,8,1,1,1,0,71.15,1,3,0,0,0,1
142,0,61,1,2,3,1,101.05,0,3,1,1,0,0
143,0,64,1,2,2,1,84.3,0,2,0,0,1,0
145,0,65,1,2,3,1,99.05,0,4,1,0,1,0
146,0,3,0,0,2,0,19.6,0,0,0,0,0,0
147,0,1,0,1,1,1,45.65,1,0,0,0,0,1
148,0,30,0,1,2,0,64.5,0,3,1,0,1,0
149,0,15,0,1,1,1,69.5,0,4,1,0,0,0
150,0,8,0,1,1,1,68.55,0,3,1,0,0,1
151,0,7,1,2,1,0,95.0,1,2,0,0,0,0
152,0,70,1,2,2,1,108.15,0,5,1,0,1,0
153,0,62,0,1,3,0,86.1,0,6,1,0,0,1
154,0,6,0,0,1,0,19.7,0,0,1,0,0,0
155,0,14,0,2,1,1,80.9,0,1,1,1,0,0
156,0,22,1,2,1,1,84.15,0,1,0,1,0,0
157,0,22,0,0,2,0,20.15,0,0,1,0,0,0
158,0,16,0,1,3,0,64.25,0,3,1,0,0,0
160,0,13,0,1,1,1,56.0,0,2,1,0,0,1
161,0,20,1,2,1,0,82.4,1,1,1,0,0,1
162,0,2,0,2,1,1,69.7,0,0,0,0,0,1
163,0,53,1,1,3,1,73.9,0,4,0,1,0,0
164,0,11,0,0,2,0,20.6,0,0,1,0,0,0
165,0,69,0,0,3,0,19.9,0,0,1,0,0,0
166,0,4,0,2,1,1,70.9,1,0,0,1,0,0
167,0,72,1,1,3,1,89.05,0,6,1,1,0,0
169,0,16,0,0,1,0,20.4,0,0,1,0,0,1
170,0,43,0,2,2,1,84.25,0,3,1,1,0,0
171,0,2,1,2,1,1,104.4,1,4,1,0,0,1
172,0,14,0,1,3,0,81.95,0,5,1,0,0,0
173,0,53,0,2,2,1,94.85,1,3,1,1,0,0
174,0,32,0,0,2,0,20.55,0,0,0,1,0,0
175,0,34,1,0,1,0,24.7,0,0,1,0,0,1
176,1,15,1,2,1,1,74.45,1,0,0,0,0,0
178,0,15,1,2,1,1,105.35,0,4,1,1,0,0
179,0,61,0,0,2,1,20.55,0,0,1,0,1,0
180,0,1,0,1,1,0,29.95,1,1,0,1,0,0
181,0,1,0,1,1,0,45.3,0,0,0,0,0,0
182,0,8,1,2,1,0,84.5,1,1,0,1,0,0
183,0,33,0,1,2,0,74.75,0,4,1,0,1,0
184,0,13,0,2,1,1,79.25,1,2,0,0,0,1
185,0,1,0,1,1,1,24.8,1,0,1,0,0,1
186,0,20,0,1,1,1,51.8,0,1,0,0,0,0
187,0,3,0,1,1,0,30.4,0,1,0,0,0,1
188,0,13,0,0,2,0,19.65,0,0,0,0,0,1
189,0,40,1,1,1,0,56.6,0,1,1,0,1,0
190,0,43,1,1,2,1,71.9,0,3,1,0,1,0
191,0,6,0,2,1,1,91.0,1,3,1,0,0,1
192,0,69,0,0,3,0,19.75,0,0,1,1,0,0
193,0,72,1,2,3,0,109.7,0,5,1,0,1,0
194,0,59,0,0,3,0,19.3,0,0,1,0,1,0
195,0,20,0,2,1,1,96.55,0,4,1,0,0,1
196,0,24,1,0,3,1,24.1,0,0,1,1,0,0
197,0,59,1,2,1,1,111.35,0,5,0,0,0,1
198,0,72,1,2,3,1,112.25,0,5,1,1,0,0
199,0,1,0,0,1,0,20.75,0,0,1,0,0,0
200,0,27,0,2,2,1,101.9,0,4,1,0,1,0
201,0,14,0,2,1,1,80.05,0,2,0,0,1,0
202,0,71,1,2,3,0,105.55,0,4,1,0,0,1
203,0,13,0,2,1,1,78.3,0,1,1,0,1,0
204,0,44,0,2,1,0,68.85,0,0,0,0,1,0
205,0,33,0,2,2,1,79.95,0,2,0,1,0,0
206,0,72,0,1,3,1,55.45,0,5,1,0,1,0
207,0,1,0,2,1,0,79.9,1,1,0,0,0,1
208,0,19,0,2,1,1,106.6,1,5,0,0,0,1
209,0,64,0,2,2,1,102.45,0,5,1,0,1,0
210,0,2,0,1,1,1,46.0,1,0,0,0,1,0
211,0,1,0,1,1,0,25.25,0,0,0,0,0,1
212,0,61,0,0,3,0,19.75,0,0,1,0,0,0
213,0,29,0,0,2,0,20.0,0,0,1,0,0,1
214,1,23,1,2,1,0,86.8,0,1,1,0,0,1
215,0,57,0,1,1,1,58.75,0,5,1,1,0,0
216,0,72,0,1,3,0,45.25,0,4,1,0,1,0
217,0,66,0,1,3,1,56.6,0,5,1,1,0,0
218,0,65,1,1,3,1,84.2,0,5,1,1,0,0
219,0,8,0,2,1,1,80.0,0,1,0,1,0,0
220,0,4,0,2,1,1,70.15,1,0,0,0,0,1
221,0,71,1,0,3,0,24.75,0,0,1,1,0,0
222,0,1,0,0,2,1,20.2,0,0,1,0,0,1
223,0,4,0,1,1,0,50.05,1,1,1,0,0,0
224,0,12,0,0,2,1,19.35,0,0,0,1,0,0
225,0,24,0,1,2,1,50.6,0,3,0,0,0,0
226,0,31,0,1,2,1,81.15,0,5,1,0,0,0
227,0,1,0,1,1,0,55.2,1,1,1,0,0,0
228,0,30,1,2,1,1,89.9,0,2,0,0,1,0
229,0,47,1,1,3,1,85.3,0,5,1,0,1,0
230,0,54,1,2,3,1,108.0,0,5,0,0,1,0
231,0,50,0,2,1,1,93.5,0,4,0,0,1,0
232,0,1,0,2,1,1,84.6,1,2,0,0,0,0
233,0,72,0,0,3,0,20.25,0,0,0,0,1,0
234,0,29,1,0,1,0,25.15,0,0,0,0,0,1
235,0,2,1,1,1,1,54.4,1,1,0,0,0,0
236,0,10,0,1,3,1,29.6,0,1,0,0,0,0
237,0,18,1,2,1,1,73.15,0,0,1,0,0,1
238,1,11,0,2,1,1,95.0,1,3,0,0,0,1
239,0,16,0,0,3,0,19.75,0,0,0,0,0,0
240,0,72,1,1,3,0,86.6,0,5,0,1,0,0
241,0,72,1,2,3,0,109.2,0,5,0,1,0,0
242,0,41,0,1,2,1,74.7,0,4,1,0,1,0
244,1,13,0,1,1,1,54.8,0,2,0,0,0,1
245,1,4,0,2,1,0,75.35,0,1,0,0,0,1
246,0,41,1,1,2,0,65.0,0,2,0,0,0,0
247,1,15,0,2,1,1,74.4,1,1,0,0,0,1
248,0,1,0,1,1,1,48.55,1,1,0,0,0,0
249,0,42,1,2,2,1,99.0,0,4,0,0,0,1
250,0,51,0,2,2,1,93.5,0,4,1,0,0,1
251,0,2,0,2,1,0,70.4,1,0,1,0,0,1
253,0,32,1,1,2,0,83.7,0,5,1,0,1,0
254,0,10,0,0,1,1,19.85,0,0,0,0,0,0
255,0,67,0,1,3,1,59.55,0,5,1,0,0,1
256,0,61,1,2,3,0,115.1,0,6,1,0,1,0
257,0,50,1,2,2,0,114.35,0,6,0,0,1,0
258,0,2,0,1,1,1,44.6,1,0,1,0,1,0
259,1,29,0,1,1,1,45.0,0,3,1,0,0,1
260,1,3,0,1,1,1,41.15,1,2,0,0,0,1
261,1,13,1,2,1,1,106.9,1,4,0,0,0,1
262,1,57,1,2,1,1,89.85,0,2,1,0,0,1
263,0,31,0,1,3,1,49.85,0,4,0,1,0,0
264,0,45,1,2,2,0,113.3,0,6,1,0,0,0
265,0,61,1,1,3,0,88.1,0,6,1,0,0,0
266,0,50,1,0,3,0,24.9,0,0,0,1,0,0
267,1,19,0,2,1,1,105.0,0,5,0,0,0,0
268,0,59,0,0,3,0,19.35,1,0,0,0,0,0
269,0,71,1,0,3,1,24.25,0,0,1,0,1,0
270,1,16,0,2,1,1,94.45,1,3,0,0,0,1
271,0,57,0,1,3,1,59.75,0,3,1,0,0,1
272,0,1,0,1,1,0,24.8,1,0,0,1,0,0
273,1,20,1,2,1,0,107.05,0,4,1,0,0,1
274,0,1,0,2,1,0,70.6,1,0,0,0,0,0
275,0,5,1,2,1,1,85.4,1,2,1,0,0,1
276,0,52,1,2,1,1,105.05,1,4,1,0,0,1
277,1,21,0,1,1,1,64.95,0,3,1,1,0,0
278,0,14,0,1,1,1,55.0,0,4,0,0,0,1
279,0,5,0,1,1,0,50.55,0,1,0,1,0,0
280,0,6,0,1,1,0,55.15,0,2,0,0,0,0
281,0,10,0,1,1,0,51.2,0,1,0,0,0,1
282,0,1,1,0,1,0,25.4,0,0,1,0,0,0
283,0,68,1,1,1,0,54.45,0,1,0,0,0,0
284,0,18,0,2,1,0,95.15,1,3,1,0,0,0
285,0,22,1,2,2,1,76.0,0,0,0,0,1,0
286,0,20,0,1,1,1,44.35,0,0,0,0,0,1
287,0,1,0,2,1,0,70.0,1,0,1,0,0,1
288,1,8,0,2,1,1,74.5,1,1,0,0,0,1
289,0,10,0,1,1,1,44.85,1,0,0,0,1,0
290,1,24,1,2,1,1,76.1,1,0,0,0,0,1
291,0,35,0,1,2,0,61.2,0,3,0,0,0,0
292,0,23,0,2,2,0,86.8,0,3,1,0,0,0
293,1,6,0,2,1,1,89.35,0,2,0,0,0,1
294,0,12,0,0,1,0,19.7,0,0,0,0,0,0
295,0,1,0,0,1,0,20.25,0,0,0,0,0,0
296,0,71,0,2,3,0,76.05,0,1,1,0,0,1
297,1,35,1,2,1,1,100.8,0,3,1,0,0,1
298,0,40,1,1,1,1,74.55,0,3,1,0,0,1
299,0,1,0,2,1,1,73.6,1,1,1,0,0,0
300,0,23,0,1,2,1,64.9,0,2,0,1,0,0
301,1,4,1,2,1,1,95.45,1,2,0,0,0,1
302,0,4,0,2,1,1,90.4,0,3,0,0,0,1
303,0,68,0,1,3,0,60.3,0,5,1,0,1,0
304,0,38,1,2,1,1,81.85,0,1,1,0,0,0
305,0,52,1,0,3,0,24.8,0,0,1,0,0,0
306,1,32,1,2,1,1,74.9,1,0,1,0,0,1
307,0,29,0,1,3,0,75.55,0,4,1,0,0,0
308,1,38,1,2,1,0,101.15,0,3,1,0,0,1
309,0,48,1,1,2,1,78.75,0,4,1,0,1,0
310,0,1,0,0,1,1,19.25,0,0,0,1,0,0
311,0,22,0,2,1,1,89.05,0,3,0,0,0,1
313,1,5,0,2,1,1,69.35,0,0,1,0,0,1
314,0,5,0,2,1,1,80.6,1,1,0,0,0,1
315,0,51,1,2,2,0,110.05,0,5,1,0,1,0
316,0,71,0,0,3,1,19.9,0,0,0,0,1,0
318,1,24,0,2,1,1,93.15,1,3,1,0,0,1
319,0,35,1,2,1,1,91.5,0,2,1,0,1,0
321,0,72,0,1,3,1,60.0,0,5,1,0,0,1
322,0,1,0,1,1,1,44.8,0,0,0,0,0,1
323,0,9,0,1,2,0,48.6,0,1,1,0,0,0
324,0,69,0,1,3,1,60.05,0,5,0,1,0,0
325,0,52,1,2,1,1,102.7,0,4,1,0,1,0
326,1,11,0,2,1,1,82.9,0,2,1,0,0,1
327,1,2,0,2,1,1,70.35,1,0,0,0,0,1
328,1,28,0,1,1,1,35.9,0,1,1,0,0,1
329,1,17,1,2,1,1,82.65,0,1,0,0,1,0
330,0,35,0,0,3,1,19.85,0,0,1,0,0,0
331,0,8,0,0,2,1,19.2,0,0,0,0,0,0
332,0,46,1,2,2,1,94.9,0,3,0,0,1,0
333,0,7,1,2,1,1,73.85,1,0,0,0,0,1
334,0,2,1,2,1,0,80.6,1,1,0,0,0,0
335,0,68,1,1,2,1,75.8,1,4,1,1,0,0
336,0,43,1,2,3,1,104.6,1,4,0,0,0,1
338,0,36,0,2,1,1,94.8,0,3,0,0,1,0
339,0,63,1,2,1,1,103.4,1,4,1,0,0,1
340,1,32,0,1,1,0,54.65,0,2,0,1,0,0
341,0,71,1,1,3,0,85.75,0,6,1,0,1,0
342,0,66,1,1,1,1,67.45,0,3,1,1,0,0
343,0,63,0,0,2,0,20.5,0,0,0,0,0,0
344,0,41,0,0,2,1,20.25,0,0,1,0,1,0
345,1,1,1,2,1,1,72.1,0,0,0,0,0,1
346,0,2,0,2,1,1,90.4,1,2,0,0,0,1
347,0,70,0,0,3,0,19.45,0,0,1,1,0,0
348,0,23,0,1,1,1,44.95,0,2,0,0,0,1
349,1,64,0,2,2,0,97.0,0,4,1,1,0,0
350,0,37,1,1,3,1,62.8,0,3,1,0,1,0
351,0,17,0,1,2,0,44.6,0,0,1,0,0,0
352,1,7,0,2,1,1,89.15,0,2,0,0,0,1
353,0,4,1,2,1,1,84.8,1,2,1,1,0,0
354,1,21,0,1,1,1,41.9,1,2,0,0,0,1
355,0,10,0,2,1,1,80.25,1,1,0,1,0,0
356,1,16,1,1,1,1,54.1,0,1,0,0,0,1
357,0,64,1,2,3,1,105.25,0,4,1,0,0,1
359,0,42,1,2,2,0,97.1,0,3,1,0,0,1
360,0,5,0,0,1,0,20.2,0,0,1,0,0,0
361,0,41,0,2,3,1,98.8,0,4,0,1,0,0
362,0,58,0,1,2,0,50.3,0,1,1,0,1,0
363,0,47,0,0,3,1,20.55,0,0,0,0,0,0
364,0,18,0,2,1,1,75.9,0,1,0,1,0,0
365,0,5,0,2,1,0,96.5,1,3,0,1,0,0
366,0,23,0,1,1,1,59.95,0,2,1,1,0,0
367,0,1,0,0,1,0,19.15,0,0,0,0,0,0
368,0,71,1,2,2,1,98.65,0,3,1,0,1,0
369,0,72,1,2,3,1,112.6,0,6,1,0,1,0
370,0,33,0,0,2,0,20.6,0,0,1,0,0,0
371,0,2,1,2,1,1,85.65,1,1,0,0,0,1
372,0,24,0,1,3,0,35.75,0,2,1,0,0,0
373,0,56,1,2,2,1,99.75,0,4,1,0,1,0
374,0,37,0,2,1,1,96.1,0,3,0,0,1,0
375,0,43,1,1,2,0,85.1,0,5,0,0,1,0
376,0,1,0,1,1,0,25.35,0,0,0,0,0,0
377,0,25,1,2,1,1,104.95,1,4,1,1,0,0
379,0,17,1,2,2,0,86.75,0,2,0,0,0,1
380,0,41,0,2,2,1,86.2,0,3,1,1,0,0
381,0,1,0,1,1,0,50.65,1,1,0,0,0,0
383,0,1,1,2,1,1,90.85,1,2,0,0,1,0
384,0,48,1,2,3,1,108.1,0,4,0,1,0,0
386,1,55,1,2,1,1,85.45,1,2,1,0,0,1
387,0,42,0,1,2,1,54.75,0,5,0,0,0,1
388,0,44,1,2,1,1,90.4,0,2,0,0,0,0
389,0,1,0,1,1,0,44.0,0,0,1,0,0,1
390,0,27,1,2,1,1,95.6,0,2,0,1,0,0
391,1,27,1,1,1,1,84.8,0,5,1,1,0,0
392,1,2,0,1,1,1,44.3,0,0,0,0,0,1
393,0,19,0,0,1,0,19.9,0,0,0,0,0,0
394,1,42,1,2,1,1,95.05,0,2,1,0,0,1
395,0,66,1,1,3,1,90.05,0,6,0,0,1,0
396,1,33,1,2,1,1,109.9,0,5,1,1,0,0
397,0,34,0,2,1,1,73.95,1,1,0,0,1,0
398,1,33,0,1,1,1,54.6,0,4,0,0,0,1
399,0,23,0,0,2,0,20.05,0,0,1,0,0,0
400,0,32,0,0,2,0,19.75,0,0,0,1,0,0
401,0,11,0,0,2,0,20.05,0,0,0,0,1,0
402,0,69,1,2,1,1,99.45,1,3,1,0,1,0
403,0,68,0,1,2,0,55.9,0,2,1,1,0,0
404,0,20,0,0,3,1,19.7,0,0,0,0,0,0
405,0,72,0,0,3,1,19.8,0,0,0,0,1,0
406,0,60,1,2,2,1,95.4,0,3,1,1,0,0
407,1,32,0,2,1,1,93.95,0,3,1,0,0,0
408,0,1,0,0,1,1,19.9,1,0,0,0,0,0
409,0,1,0,0,1,1,19.6,1,0,0,0,0,0
410,1,3,1,2,1,1,81.35,1,1,0,0,0,1
411,0,46,1,0,2,1,24.45,0,0,1,1,0,0
412,0,29,1,2,1,1,74.95,0,0,1,0,0,1
413,0,51,1,2,1,1,87.35,0,3,0,0,0,1
414,1,48,0,2,1,1,70.65,0,0,1,1,0,0
415,0,16,0,2,1,0,73.25,0,1,1,1,0,0
416,0,70,1,2,3,1,98.7,0,4,1,1,0,0
417,0,40,1,0,3,1,24.8,0,0,1,0,0,0
418,0,22,0,2,1,0,83.3,1,2,1,0,0,1
419,1,1,0,2,1,1,75.3,1,1,0,1,0,0
420,0,5,1,0,1,1,24.3,0,0,1,0,0,0
421,0,7,0,2,1,1,69.85,0,0,0,1,0,0
422,0,29,1,2,2,0,100.55,0,4,1,0,1,0
423,0,44,1,0,2,0,25.7,0,0,1,0,0,0
424,0,10,0,1,1,0,40.7,0,3,0,1,0,0
426,1,52,1,2,2,1,105.1,0,4,1,1,0,0
427,0,10,1,2,1,0,85.95,0,1,1,0,0,1
428,0,18,1,2,1,1,75.6,0,0,0,1,0,0
429,0,68,1,1,2,0,58.25,0,2,1,1,0,0
430,0,61,0,0,1,1,19.4,1,0,1,0,0,0
431,0,72,0,1,3,1,65.2,0,6,1,0,1,0
432,0,2,0,1,1,0,53.45,0,2,0,0,0,1
433,0,12,0,1,1,1,45.4,1,0,0,1,0,0
434,0,41,0,0,3,1,19.75,0,0,1,0,0,1
435,0,26,0,1,1,1,44.45,0,3,0,0,1,0
436,0,36,0,0,2,0,20.85,0,0,1,1,0,0
437,0,72,1,2,3,1,114.05,0,6,1,0,1,0
438,0,35,1,2,1,1,89.85,0,2,1,1,0,0
439,0,1,0,1,1,0,55.05,0,2,0,0,0,0
440,0,16,1,2,1,1,112.95,0,5,1,0,0,1
442,0,54,1,2,2,1,114.65,0,6,1,0,0,0
443,0,18,1,1,1,0,64.8,0,2,1,0,0,1
444,0,36,0,2,1,0,80.4,0,1,1,0,0,1
445,0,60,1,2,1,1,105.9,1,4,0,0,0,1
446,0,1,0,2,1,0,69.55,1,0,0,0,0,0
447,0,52,1,0,3,1,25.05,0,0,1,1,0,0
448,0,8,0,2,1,1,94.75,0,3,1,0,0,1
449,0,72,0,2,3,0,105.5,0,5,1,1,0,0
450,0,64,1,0,2,0,24.7,0,0,0,0,0,0
451,1,22,0,1,1,1,69.75,0,4,0,0,0,0
452,0,60,0,1,1,1,60.2,0,5,1,1,0,0
453,0,28,0,2,1,1,81.05,1,1,1,0,0,1
454,0,61,1,0,3,0,24.4,0,0,1,0,0,0
455,0,24,1,2,1,1,104.15,0,4,0,0,0,1
456,0,28,0,2,2,0,92.9,0,4,1,1,0,0
457,0,30,0,1,3,0,80.8,0,5,1,1,0,0
458,0,2,0,0,1,0,20.0,0,0,1,0,0,0
459,0,1,1,2,1,1,75.1,0,0,0,0,0,1
460,0,6,0,0,1,0,19.65,0,0,1,0,0,0
461,0,24,0,1,1,1,69.45,0,3,1,1,0,0
462,0,4,1,2,1,0,101.15,1,3,1,0,0,1
463,0,7,1,2,1,1,99.8,1,3,0,0,0,1
464,1,72,1,2,3,1,116.05,0,6,1,1,0,0
465,0,70,0,1,3,1,40.05,0,2,0,0,0,0
466,1,64,1,2,3,0,102.1,0,4,1,0,0,1
467,0,72,1,2,2,1,89.7,0,2,1,0,0,1
468,0,44,0,0,3,0,19.9,0,0,1,0,0,0
469,0,13,0,1,1,0,55.95,1,1,1,0,0,1
470,1,17,0,0,2,0,20.65,0,0,0,0,0,0
471,0,1,0,1,1,1,55.0,1,1,0,0,0,1
472,0,9,0,1,1,1,70.05,0,3,1,0,0,0
473,0,24,0,1,1,0,53.6,0,2,1,0,0,0
474,0,1,0,2,1,1,74.7,1,1,1,0,0,1
475,0,24,1,2,1,1,80.25,1,1,0,0,0,1
476,1,35,0,1,1,1,76.05,0,4,1,0,0,1
477,0,7,0,1,1,1,75.7,0,5,1,0,0,1
478,0,5,0,2,1,1,96.1,1,3,0,0,0,1
